Categoría,Fecha,Hora,Estudiante,Precio,Dirección,Plus Code ,Razon no captura de datos,Categorías/Observaciones
Pan,2/27/2019,10:20:00 a. m.,Miguel C y Valentina F,300,Cll. 12b #6-68,"HWX6+W9 Bogotá, Bogotá",,Restaurante(rollito)
Pan,2/27/2019,10:30:00 a. m.,Miguel C y Valentina F,200,Cll. 12b #5-19,"HWX6+HV Bogotá, Bogotá",,Restaurante(blandito)
Pan,2/27/2019,10:36:00 a. m.,Miguel C y Valentina F,200,Cll. 12b #3-90,"HWXH+79 Bogotá, Bogotá",,Cigarreria (blandito)
Pan,2/27/2019,10:42:00 a. m.,Miguel C y Valentina F,300,Cra. 3 #12-09,"HWWH+RG Bogotá, Bogotá",,Restaurante (blandito)
Pan,2/27/2019,10:52:00 a. m.,Miguel C y Valentina F,500,Cll. 12 #5-38,"HWXG+8J Bogotá, Bogotá",,Frutería (blandito)
Pan,2/27/2019,10:55:00 a. m.,Miguel C y Valentina F,500,Cll. 12 #5-69,"HWXG+9G Bogotá, Bogotá",,Panadería (blandito)
Pan,2/27/2019,11:01:00 a. m.,Miguel C y Valentina F,700,Cll. 12 #6-81,"HWXG+J4 Bogotá, Bogotá",,Restaurante (blandito)
Pan,2/27/2019,11:05:00 a. m.,Miguel C y Valentina F,300,Cll. 12 #7,"HWXG+M3 Bogotá, Bogotá",,Ambulante (blandito)
Pan,2/27/2019,11:52:00 a. m.,Miguel C y Daniela T,500,Cra. 7 #16-32,"JW2G+XV Bogotá, Bogotá",,Ambulante (blandito)
Pan,2/27/2019,11:56:00 a. m.,Miguel C y Daniela T,600,Cra. 7 #16,"JW3G+2W Bogotá, Bogotá",,Cafetería (blandito)
Pan,2/27/2019,11:58:00 a. m.,Miguel C y Daniela T,500,Cra. 7 #17-76,"JW3H+M6 Bogotá, Bogotá",,Tostao (blandito)
Pan,2/27/2019,12:00:00 p. m.,Miguel C y Daniela T,300,Cra. 7 #18-20,"JW3H+W7 Bogotá, Bogotá",,Ambulante (rollito)
Pan,2/27/2019,12:02:00 p. m.,Miguel C y Daniela T,300,Cra. 7 #19-56,"JW4H+9F Bogotá, Bogotá",,Ambulante (blandito)
Pan,2/27/2019,12:02:00 p. m.,Miguel C y Daniela T,300,Cra. 7 #19-56,"JW4H+9F Bogotá, Bogotá",,Ambulante (blandito)
Pan,2/27/2019,12:12:00 p. m.,Miguel C y Daniela T,200,Cra. 7 #22-36,"JW5H+8Q Bogotá, Bogotá",,Éxito (blandito)
Pan,2/27/2019,12:32:00 p. m.,Miguel C y Daniela T,250,Cra. 7 #23-48,"JW5M+25 Bogotá, Bogotá",,Tienda (rollito)
Pan,2/27/2019,12:35:00 p. m.,Miguel C y Daniela T,250,Cra. 4A #23-35,"JW5J+4V Bogotá, Bogotá",,Cafetería (rollito)
Pan,2/27/2019,12:37:00 p. m.,Miguel C y Daniela T,200,Cll. 23 # 4a-28,"JW5J+4Q Bogotá, Bogotá",,ARA (blandito)
Pan,2/27/2019,12:42:00 p. m.,Miguel C y Daniela T,500,Cll. 23 # 5-35,"JW5J+87 Bogotá, Bogotá",,Tostao (blandito
Pan,2/27/2019,12:45:00 p. m.,Miguel C y Daniela T,300,Cll. 23 # 6-68,"JW5H+HW Bogotá, Bogotá",,Restaurante(rollito)
Pan,2/27/2019,12:51:00 p. m.,Miguel C y Daniela T,1000,Cll. 22 # 5-84,"JW5J+23 Bogotá, Bogotá",,Cafetería (blandito)
Pan,2/27/2019,12:55:00 p. m.,Miguel C y Daniela T,250,Cll. 21 # 6,"JW4J+Q8 Bogotá, Bogotá",,Minimercado (blandito)
Pan,2/27/2019,12:57:00 p. m.,Miguel C y Daniela T,400,Cll. 22 # 4-62,"JW4J+MG Bogotá, Bogotá",,Cafetería (blandito)
Pan,2/27/2019,1:05:00 p. m.,Miguel C y Daniela T,1000,Cll. 21 # 5 ,"JW4J+C5 Bogotá, Bogotá",,Cafetería (blandito)
