Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones
Restaurante;jueves, 28 de febrero de 2019;12:00;Santiago Ortiz Ortiz;9900;CRA 7 #12C-90;JW2G+FJ Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:00;Santiago Ortiz Ortiz;9000;CL 12C #6A-36;JW2G+8H Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:02;Santiago Ortiz Ortiz;11900;CRA 7 #12B-72;JW2G+5C Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:02;Santiago Ortiz Ortiz;11000;CL 12 #6-82;HWXG+P4 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:04;Santiago Ortiz Ortiz;10000;CL 12 #6-68;HWXG+P5 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:05;Santiago Ortiz Ortiz;14000;CL 12 #6-62;HWXG+M6 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:07;Santiago Ortiz Ortiz;9000;CL 12 #6-58;HWXG+J7 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:12;Santiago Ortiz Ortiz;13000;CL 12 #6-52;HWXG+M7 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:23;Santiago Ortiz Ortiz;10000;CL 12 #6-61;HWXG+J6 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:24;Santiago Ortiz Ortiz;15000;CL 12 #6-71;HWXG+J7 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:27;Santiago Ortiz Ortiz;13000;CL 12 #6-77;HWXG+J8 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:33;Santiago Ortiz Ortiz;14900;CL 11 #6-96;HWXG+J3 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:40;Santiago Ortiz Ortiz;;CRA 7 #11-72;HWXG+96 Bogotá;No tiene el producto;
Restaurante;jueves, 28 de febrero de 2019;12:45;Santiago Ortiz Ortiz;9500;CRA 7 #11-73;HWXG+C4 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:47;Santiago Ortiz Ortiz;9500;CRA 7 #11-74;HWXG+C6 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:56;Santiago Ortiz Ortiz;9000;CRA 7 #11-75;HWXG+C5 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:59;Santiago Ortiz Ortiz;9500;CRA 7 #11-76;HWXG+C7 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:05;Santiago Ortiz Ortiz;;CL 11 #6-50;HWXF+7X Bogotá;No tiene el producto;
Restaurante;jueves, 28 de febrero de 2019;13:08;Santiago Ortiz Ortiz;8000;CL 11 #6-52;HWXG+74 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:10;Santiago Ortiz Ortiz;;CL 11 #6-20;HWXG+44 Bogotá;No tiene el producto;
Restaurante;jueves, 28 de febrero de 2019;13:12;Santiago Ortiz Ortiz;;CL 11 #6-16;HWXG+54 Bogotá;No tiene el producto;
Restaurante;jueves, 28 de febrero de 2019;13:15;Santiago Ortiz Ortiz;;CL 11 #6-04;HWXG+63 Bogotá;No le quisieron dar el precio;
Restaurante;jueves, 28 de febrero de 2019;13:20;Santiago Ortiz Ortiz;16000;CRA 4 # 11-94;HWWH+W4 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:25;Santiago Ortiz Ortiz;7500;CRA 3 #11-98;HWWH+X5 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:40;Santiago Ortiz Ortiz;11000;CRA 5 #12-81;HWXG+6P Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:50;Santiago Ortiz Ortiz;;CRA 5 #11-63;HWXG+7P Bogotá;No le quisieron dar el precio;
Restaurante;jueves, 28 de febrero de 2019;13:55;Santiago Ortiz Ortiz;10000;CRA 5 #11-75;HWXG+5Q Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:57;Santiago Ortiz Ortiz;13000;CL 12 #5-03;HWXG+8J Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;13:59;Santiago Ortiz Ortiz;8900;CL 12 #5-19;HWXG+8H Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:00;Santiago Ortiz Ortiz;14000;CL 12 #5-79;HWXG+CF Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:12;Santiago Ortiz Ortiz;;CL 12 #5-83;HWXG+9F Bogotá;No le quisieron dar el precio;
Restaurante;jueves, 28 de febrero de 2019;14:16;Santiago Ortiz Ortiz;9000;CL 12 #6-35;HWXG+G8 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:19;Santiago Ortiz Ortiz;10000;CL 12 #5-32;HWXG+F7 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:23;Santiago Ortiz Ortiz;;CL 12 #5-34;HWXG+G9 Bogotá;No le quisieron dar el precio;
Restaurante;jueves, 28 de febrero de 2019;14:26;Santiago Ortiz Ortiz;11000;CRA 4 #12-15;HWXH+24 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:29;Santiago Ortiz Ortiz;13500;CRA 4 #12-16;HWXH+25 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:34;Santiago Ortiz Ortiz;;CRA 4 #12-40;HWXH+35 Bogotá;No tiene el producto;
Restaurante;jueves, 28 de febrero de 2019;14:39;Santiago Ortiz Ortiz;8000;CL 12B #5-25;HWXH+G2 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:45;Santiago Ortiz Ortiz;14000;CL 12B #5-27;HWXG+JR Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;14:55;Santiago Ortiz Ortiz;14000;CL 12B #5-41;HWXG+HR Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:01;Santiago Ortiz Ortiz;12500;CRA 6 #12-44;HWXG+HG Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:09;Santiago Ortiz Ortiz;;CRA 6 #12-79;HWXG+GG Bogotá;No tiene el producto;
Restaurante;jueves, 28 de febrero de 2019;15:14;Santiago Ortiz Ortiz;9500;CL 12B #6-74;HWXG+RG Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:23;Santiago Ortiz Ortiz;11000;CL 12C #4-38;HWXG+W9 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:29;Santiago Ortiz Ortiz;6000;CRA 4 #12B-04;HWXH+GF Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:32;Santiago Ortiz Ortiz;6000;CRA 4 #12B-36;HWXH+JF Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:38;Santiago Ortiz Ortiz;15000;CRA 6A #14-21;JW2H+38 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:41;Santiago Ortiz Ortiz;10000;Jimenez #5-63;JW2H+74 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:47;Santiago Ortiz Ortiz;10000;Jimenez #4-93;JW2H+59 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:50;Santiago Ortiz Ortiz;15000;Jimenez #4-10;JW2H+5C Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;15:59;Santiago Ortiz Ortiz;12900;Jimenez #4-75;JW2H+6P Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:04;Santiago Ortiz Ortiz;6000;CL 12B #4-10;JW2H+4R Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:12;Santiago Ortiz Ortiz;9900;CL 12B #4-15;JW2H+4P Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:18;Santiago Ortiz Ortiz;10000;CL 12B #4-11;JW2H+4M Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:22;Santiago Ortiz Ortiz;16000;CL 12D #4-67;JW2H+4J Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:29;Santiago Ortiz Ortiz;5000;CRA 4 #12C-67;JW2H+2Q Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:39;Santiago Ortiz Ortiz;15000;CRA 4 #12C-54;HWXH+XP Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:44;Santiago Ortiz Ortiz;5700;CRA 4 #12C-53;HWXH+WP Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:45;Santiago Ortiz Ortiz;13000;CRA 4 #12C-70;HWXH+QJ Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:50;Santiago Ortiz Ortiz;5000;CRA 5 #12C-23;JW2H+32 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;16:55;Santiago Ortiz Ortiz;5200;CRA 5 #12C-25;JW2H+64 Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:00;Camila Andrade;15000;CL 23 #4a-08;JW5J+3Q Bogotá;;
Restaurante;jueves, 28 de febrero de 2019;12:00;Camila Andrade;7500;CRA 4a #23-23;JW5J+4V Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:02;Camila Andrade;7500;CRA 4a #23-35;JW5J+5W Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:02;Camila Andrade;7500;CRA 4a #23-41;JW5J+6W Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:04;Camila Andrade;9000;CRA 4a #23-79;JW5J+7X Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:05;Camila Andrade;;CRA 4 #23-53;JW5M+34 Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;12:07;Camila Andrade;;CRA 4 #23-25;JW4M+X4 Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;12:12;Camila Andrade;8000;CRA 4 #23-26;JW4M+W4 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:23;Camila Andrade;8000;CL 23 #4-08;JW4M+W3 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:24;Camila Andrade;7500;CRA 4 #23-04,;JW4M+V4 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:27;Camila Andrade;;CL 23 #3b-28;JW4M+R5 Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;12:33;Camila Andrade;8000;CL 23 #4 - 44;JW4J+XW Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:40;Camila Andrade;8000;CL 23 #4-54;JW4J+XV Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:45;Camila Andrade;12000;CL 24 #6-3;JW5J+M9 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:47;Camila Andrade;12000;CL 24 #6-51;JW5J+R6 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:56;Camila Andrade;8000;CL 24 #6a-43;JW5J+V3 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;12:59;Camila Andrade;8000;CL 24 #6-86;JW5J+X2 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:05;Camila Andrade;;CRA 7 #24-02;JW6H+2W Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;13:08;Camila Andrade;;CRA 7 #23-61;JW5H+VR Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;13:10;Camila Andrade;10000;CRA 7 #23-40;JW5H+QV Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:12;Camila Andrade;10400;CRA 7 #23-17;JW5H+PR Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:15;Camila Andrade;10000;CRA 7 #23-28;JW5H+PV Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:20;Camila Andrade;9000;CL 23 #6-74;JW5H+JV Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:25;Camila Andrade;9000;CL 23 #6-74;JW5H+JW Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:40;Camila Andrade;;CRA 7 #22-93;JW5H+JQ Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;13:50;Camila Andrade;9000;CL 23 #5-24;JW5J+92 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:55;Camila Andrade;9000;CL 23 #6-7;JW5J+94 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:57;Camila Andrade;9300;CL 23 #5-66;JW5J+89 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;13:59;Camila Andrade;9500;CL 23 #5 - 20;JW5J+7C Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:00;Camila Andrade;9300;CL 23 #5-19;JW5J+6C Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:12;Camila Andrade;10000;CRA 5 #22-43;JW5J+2C Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:16;Camila Andrade;10200;CL 23 # 4a-08;JW5J+2R Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:19;Camila Andrade;9500;CRA 3 #22-15;JW4M+76 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:23;Camila Andrade;9500;CL 22 #3-04;JW4M+75 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:26;Camila Andrade;;CL 22 #3-30;JW4M+75 Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;14:29;Camila Andrade;9300;CRA 3 #21-85;JW4M+55 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:34;Camila Andrade;10200;CL 22 #4-91;JW4J+P9 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:39;Camila Andrade;10000;CL 22 #5-25;JW4J+V6 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:45;Camila Andrade;11000;CL 22 #6-61;JW5H+4R Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;14:55;Camila Andrade;10900;CL 22 #6-66;JW5H+5R Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:01;Camila Andrade;10400;CRA 7 #21-14;JW4H+RJ Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:09;Camila Andrade;;CL 21 #6-59;JW4H+PM Bogotá;No tiene el producto;
Restaurante;viernes, 1 de marzo de 2019;15:14;Camila Andrade;9500;CL 21 #5-94;JW4H+JV Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:23;Camila Andrade;9300;CRA 5 #21 - 11;JW4J+G5 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:29;Camila Andrade;10000;CRA 5 #21-39;JW4J+H6 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:32;Camila Andrade;10300;CL 21 #4-89;JW4J+86 Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:38;Camila Andrade;;CRA 4 #20-75;JW4J+3M Bogotá;No había nadie atendiendo;
Restaurante;viernes, 1 de marzo de 2019;15:41;Camila Andrade;15000;CRA 4 #20-29;JW3J+WJ Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:47;Camila Andrade;15000;CRA 4 #20-29;JW3J+VJ Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:50;Camila Andrade;15000;CRA 4 #20-41;JW3J+HJ Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;15:59;Camila Andrade;14500;CL 20 #4-98;JW3J+RF Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;16:04;Camila Andrade;10000;CL 20 #4-42;JW3J+WF Bogotá;;
Restaurante;viernes, 1 de marzo de 2019;16:12;Camila Andrade;9900;CL 20 #6-35;JW4H+9J Bogotá;;
